date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2018-01-01 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1000000.0000,0.0000,,
2018-01-02 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1000680.5688,0.0007,,
2018-01-03 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1001370.7231,0.0007,,
2018-01-04 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1006987.8121,0.0056,,
2018-01-05 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1012346.0932,0.0053,,
2018-01-08 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1017675.6179,0.0053,,
2018-01-09 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1018773.1549,0.0011,,
2018-01-10 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1018466.4197,-0.0003,,
2018-01-11 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1020757.3485,0.0022,,
2018-01-12 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1022564.2107,0.0018,,
2018-01-15 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1028809.1484,0.0061,,
2018-01-16 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1026762.6492,-0.0020,,
2018-01-17 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1034685.0452,0.0077,,
2018-01-18 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1037349.8076,0.0026,,
2018-01-19 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1044821.6862,0.0072,,
2018-01-22 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1050448.3606,0.0054,,
2018-01-23 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1062411.0348,0.0114,,
2018-01-24 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1062516.4750,0.0001,,
2018-01-25 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1060589.7943,-0.0018,,
2018-01-29 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1066355.4582,0.0054,,
2018-01-30 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1059142.3875,-0.0068,,
2018-01-31 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1057345.1107,-0.0017,,
2018-02-01 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1056376.9776,-0.0009,,
2018-02-02 00:00:00+05:30,1000000.0000,1000000.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,1000000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,,,1029240.4948,-0.0257,,
